1. culture 	문화, 교양
2. experience 	경험, 경험하다
3. education 	교육
4. symbol 	상징
5. effect 		결과, 영향, 효과
6. liberty 	자유
7. affair 		사건, 일
8. comfort 	안락, 위안
9. tradition 	전통
10. subject 	학과, 주제, 주어
11. object 	물건, 목적, 반대하다
12. source 	출처, 근원
13. revolution 	혁명
14. pollution 	오염
15. system 	체계, 조직, 제도
16. triumph 	승리
17. respect 	존경, 존경하다
18. communication 의사소통, 전달
19. foundation 	기초, 근거, 설립
20. glory 	영광
21. situation 	위치, 상황
22. competition 	경쟁
23. prairie 	대초원
24. effort 	노력
25. section 	부분, 구역
26. rein 		고삐
27. solution 	해결, 용해
28. hono(u)r 	명예, 경의, 존경하다
29. unity 	통일, 일치
30. population 	인구
31. direction 	방향, 지시
32. dialogue 	대화
33. republic 	공화국
34. method 	방법
35. increase 	증가, 증가하다
36. decrease 	감소, 감소하다
37. amount 	총액, 양, (총계) -이 되다
38. ancestor 	조상, 선조
39. voyage 	항해
40. sculpture 	조각(물)
41. instrument 	도구
42. figure 	모습, 인물, 숫자
43. activity 	활동
44. cause 	원인, 이유, 일으키다, 야기하다
45. worth 	가치, -의 가치가 있는
46. accident 	사고, 뜻밖의 사건
47. adventure 	모험
48. view 	경치, 의견
49. relative 	친척, 관계있는, 상대적인
50. superstition 	미신
51. habit 	습관, 버릇
52. wealth 	재산, 부
53. treasure 	보물
54. universe 	우주, 전세계
55. adult 	성인
56. feast 	축제, 향연, 잔치
57. resource 	자원, 수단
58. ruin 		파멸, 폐허, 파멸시키다
59. monument 	기념비, 기념물
60. information 	정보
61. appetite 	식욕
62. unification 	통일
63. mystery 	신비, 불가사의, 추리소설
64. thermometer 	온도계
65. burden 	짐, 무거운 짐, 짐을 지우다
66. series 	연속, 시리즈
67. oath 	맹세, 선서
68. appointment 	약속, 임명
69. clue 		실마리, 단서
70. debt 	부채, 빚, 은혜
71. hydrogen 	수소
72. control 	통제, 지배, 통제하다
73. uniform 	제복, 유니폼
74. design 	계획, 설계, 계획하다
75. damage 	손해, 손상
76. custom 	관습, 습관
77. traffic 	교통
78. sophomore 	2학년생
79. temperature 	온도, 체온
80. limit 	제한, 한계, 제한하다
81. statue 	조각상
82. furniture 	가구
83. parade 	행렬
84. public 	공공의, 공중의, 공중
85. pilgrim 	순례자
86. greeting 	인사, 축하
87. language 	언어
88. opinion 	의견
89. athlete 	운동선수
90. supply 	공급, 공급하다
91. surface 	표면, 표면의
92. electricity 	전기
93. order 	순서, 질서, 명령, 주문, 명령하다
94. spirit 	정신, 영혼
95. purpose 	목적
96. promise 	약속, 가망, 약속하다
97. project 	계획
98. government 	정부
99. exercise 	운동, 연습, 연습하다
100. comparison 	비교
101. interest 	관심, 이익, 흥미, 이자, 흥미를 갖게하다 
102. funeral 	장례식 
103. senior 	선배, 연장자, 손위의 
104. junior 	후배, 연소자, 손아래의 
105. democracy 	민주주의 
106. general 	장군, 일반적인 
107. admiral 	해군 대장, 제독 
108. edge 	날, 가장자리 
109. biology 	생물학 
110. danger 	위험 
111. advice 	충고 
112. practice 	연습, 실행 
113. mammal 	포유동물 
114. grade 	등급, 학년 
115. score 	점수, 득점, 20 
116. pause 	중지, 멈추다 
117. pronunciation 발음 
118. stress 	압박, 강세, 강조하다 
119. contest 	경쟁, 경기 
120. horizon 	수평선, 지평선  
121. principal 	교장, 장, 주요한 
122. might 	힘, may의 과거형 
123. trouble 	근심, 고생, 괴롭히다 
124. scar 	상처, 흔적 
125. balance 	균형 
126. proverb 	속담, 격언 
127. semester 	학기 
128. election 	선거 
129. inning 	회, 이닝
130. hollow 	구멍, 우묵한 곳 
131. degree 	정도, 학위 
132. cemetery 	묘지 
133. relay 	교대, 교대하다 
134. spot 	장소, 현장 
135. exchange 	교환, 교환하다 
136. merchant 	상인 
137. saying 	격언 
138. refrigerator 	냉장고 
139. crack 	갈라진 금, 틈, 금가게 하다 
140. judge 	재판관, 심판관, 재판하다  
141. slave 	노예 
142. settler 	이주민, 정착민 
143. fare 	요금, 운임 
144. gesture 	몸짓, 손짓 
145. planet 	행성 
146. type 	유형, 활자, 타이프를 치다 
147. secretary 	비서 
148. devil 	악마 
149. scholar 	학자 
150. pardon 	용서, 용서하다 
151. kindergarten 	유치원 
152. detective 	탐정, 탐정의 
153. license 	면허(증) 
154. palace 	궁전 
155. spade 	삽 
156. square 	정사각형, 광장 
157. fountain-pen 	만년필 
158. harvest 	수확, 추수 
159. tool 	도구 
160. sword 	검, 칼  
161. magazine 	잡지 
162. stadium 	경기장 
163. care 	걱정, 조심 
164. beauty 	아름다움, 미인 
165. museum 	박물관 
166. sentence 	문장 
167. memory 	기억, 기억력 
168. delight 	기쁨 
169. passenger 	승객 
170. skill 	솜씨, 기술 
171. journey 	여행 
172. ceremony 	의식 
173. hobby 	취미 
174. president 	대통령, 사장, 회장 
